date,us_equity,intl_equity,bonds,cash,inflation
1970-02,-0.031958,-0.031958,0.018127,0.006200,0.005291
1970-03,0.020126,0.020126,-0.016555,0.005700,0.005263
1970-04,-0.027474,-0.027474,-0.029501,0.005000,0.007853
1970-05,-0.111987,-0.111987,0.011407,0.005300,0.002597
1970-06,-0.002695,-0.002695,0.033107,0.005800,0.005181
1970-07,0.005229,0.005229,0.001336,0.005200,0.005155
1970-08,0.032561,0.032561,0.016095,0.005300,0.000000
1970-09,0.063217,0.063217,0.010378,0.005400,0.005128
1970-10,0.024878,0.024878,0.041321,0.004600,0.005102
1970-11,0.002051,0.002051,0.038691,0.004600,0.005076
1970-12,0.071567,0.071567,0.016396,0.004200,0.005051
1971-01,0.041098,0.041098,0.014851,0.003800,0.000000
1971-02,0.041502,0.041502,0.036095,0.003300,0.002513
1971-03,0.028310,0.028310,-0.005023,0.003000,0.002506
1971-04,0.036736,0.036736,-0.036197,0.002800,0.002500
1971-05,-0.011081,-0.011081,-0.004151,0.002900,0.004988
1971-06,-0.015961,-0.015961,-0.009732,0.003700,0.007444
1971-07,-0.004632,-0.004632,0.016513,0.004000,0.002463
1971-08,-0.015174,-0.015174,0.038103,0.004700,0.002457
1971-09,0.024861,0.024861,0.020833,0.003700,0.000000
1971-10,-0.018642,-0.018642,0.013971,0.003700,0.002451
1971-11,-0.043721,-0.043721,-0.004139,0.003700,0.000000
1971-12,0.071630,0.071630,0.003446,0.003700,0.004890
1972-01,0.044225,0.044225,-0.004705,0.002900,0.000000
1972-02,0.020870,0.020870,0.005810,0.002500,0.004866
1972-03,0.026196,0.026196,-0.003818,0.002700,0.002421
1972-04,0.012589,0.012589,0.009609,0.002900,0.002415
1972-05,-0.007759,-0.007759,0.006593,0.003000,0.002410
1972-06,0.005161,0.005161,0.005092,0.002900,0.002404
1972-07,-0.005036,-0.005036,-0.002299,0.003100,0.004796
1972-08,0.037839,0.037839,-0.019574,0.002900,0.002387
1972-09,-0.012102,-0.012102,0.010570,0.003400,0.002381
1972-10,0.004192,0.004192,0.020135,0.004000,0.004751
1972-11,0.052560,0.052560,-0.000640,0.003700,0.002364
1972-12,0.023132,0.023132,-0.002008,0.003700,0.002358
1973-01,0.009898,0.009898,-0.007667,0.004400,0.002353
1973-02,-0.033247,-0.033247,0.000474,0.004200,0.007042
1973-03,-0.013449,-0.013449,0.008488,0.004600,0.009324
1973-04,-0.016321,-0.016321,-0.007371,0.005200,0.006928
1973-05,-0.025685,-0.025685,0.002125,0.005100,0.006881
1973-06,-0.019885,-0.019885,-0.010569,0.005100,0.006834
1973-07,0.012116,0.012116,-0.012989,0.006400,0.002262
1973-08,-0.016341,-0.016341,0.028200,0.007000,0.018059
1973-09,0.019966,0.019966,0.027515,0.006800,0.002217
1973-10,0.042382,0.042382,0.009991,0.006500,0.008850
1973-11,-0.068501,-0.068501,0.004887,0.005600,0.006579
1973-12,-0.068023,-0.068023,-0.012231,0.006400,0.006536
1974-01,0.017022,0.017022,0.007969,0.006300,0.008658
1974-02,-0.024711,-0.024711,-0.011875,0.005800,0.012876
1974-03,0.045764,0.045764,-0.014925,0.005600,0.012712
1974-04,-0.048149,-0.048149,0.001389,0.007500,0.004184
1974-05,-0.027039,-0.027039,0.009104,0.007500,0.012500
1974-06,0.004591,0.004591,-0.012313,0.006000,0.008230
1974-07,-0.113441,-0.113441,-0.009176,0.007000,0.008163
1974-08,-0.037616,-0.037616,0.006700,0.006000,0.012146
1974-09,-0.100103,-0.100103,0.016305,0.008100,0.012000
1974-10,0.023773,0.023773,0.021821,0.005100,0.009881
1974-11,0.037438,0.037438,0.023906,0.005400,0.007828
1974-12,-0.060914,-0.060914,0.001305,0.007000,0.007767
1975-01,0.086357,0.086357,0.013966,0.005800,0.003854
1975-02,0.108102,0.108102,-0.017340,0.004300,0.007678
1975-03,0.049761,0.049761,-0.027376,0.004100,0.003810
1975-04,0.014884,0.014884,0.018441,0.004400,0.003795
1975-05,0.067139,0.067139,0.020462,0.004400,0.005671
1975-06,0.028959,0.028959,-0.007076,0.004100,0.007519
1975-07,0.004320,0.004320,-0.016112,0.004800,0.011194
1975-08,-0.069963,-0.069963,0.004988,0.004800,0.001845
1975-09,-0.008527,-0.008527,0.026715,0.005300,0.005525
1975-10,0.049703,0.049703,0.012918,0.005600,0.005495
1975-11,0.020408,0.020408,0.010124,0.004100,0.007286
1975-12,-0.011806,-0.011806,0.024628,0.004800,0.003617
1976-01,0.095456,0.095456,0.003003,0.004700,0.001802
1976-02,0.041784,0.041784,0.010638,0.003400,0.003597
1976-03,0.008027,0.008027,0.018278,0.004000,0.001792
1976-04,0.010974,0.010974,-0.017026,0.004200,0.003578
1976-05,-0.003814,-0.003814,0.009332,0.003700,0.007130
1976-06,0.009025,0.009025,0.008614,0.004300,0.005310
1976-07,0.026678,0.026678,0.010665,0.004700,0.005282
1976-08,-0.005582,-0.005582,0.018991,0.004200,0.005254
1976-09,0.024403,0.024403,0.018940,0.004400,0.003484
1976-10,-0.031029,-0.031029,0.014629,0.004100,0.005208
1976-11,-0.003612,-0.003612,0.036217,0.004000,0.001727
1976-12,0.037920,0.037920,-0.018313,0.004000,0.003448
1977-01,-0.005335,-0.005335,-0.006618,0.003600,0.005155
1977-02,-0.023649,-0.023649,0.001263,0.003500,0.010256
1977-03,-0.000503,-0.000503,0.012535,0.003800,0.006768
1977-04,-0.011890,-0.011890,-0.000152,0.003800,0.008403
1977-05,0.000693,0.000693,0.018904,0.003700,0.005000
1977-06,0.009045,0.009045,0.002550,0.004000,0.006633
1977-07,0.012864,0.012864,0.001200,0.004200,0.004942
1977-08,-0.020747,-0.020747,0.010385,0.004400,0.003279
1977-09,-0.011714,-0.011714,-0.006438,0.004300,0.003268
1977-10,-0.021930,-0.021930,0.002093,0.004900,0.003257
1977-11,0.009862,0.009862,-0.001299,0.005000,0.004870
1977-12,-0.000751,-0.000751,-0.012067,0.004900,0.003231
1978-01,-0.033865,-0.033865,0.001858,0.004900,0.006441
1978-02,-0.009680,-0.009680,0.006010,0.004600,0.006400
1978-03,0.002697,0.002697,-0.000765,0.005300,0.007949
1978-04,0.048334,0.048334,-0.006666,0.005400,0.007886
1978-05,0.055076,0.055076,-0.000408,0.005100,0.009390
1978-06,0.006767,0.006767,-0.004912,0.005400,0.010853
1978-07,-0.000592,-0.000592,0.022636,0.005600,0.007669
1978-08,0.073313,0.073313,0.006337,0.005600,0.004566
1978-09,0.004026,0.004026,-0.007604,0.006200,0.007576
1978-10,-0.027722,-0.027722,-0.004016,0.006800,0.009023
