
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  17.79  16.73  17.76  17.23  18.01  16.40  18.18  15.21  19.12   9.98
197502  13.41  15.49  12.55  15.44  12.35  15.14  12.52  13.46  13.04   7.13
197503  -1.04  -0.67  -0.78  -0.55  -1.15  -1.31  -0.29  -1.46  -1.06   0.98
197504   4.62   4.12   4.60   3.89   4.54   3.09   4.82   2.29   5.60  -1.41
197505  -0.72  -1.48  -0.95   0.28  -0.97   0.85  -0.98  -0.84  -1.32  -4.28
197506  -4.00  -4.45  -5.06  -3.00  -5.61  -4.12  -4.06  -3.93  -4.30  -3.38
197507  -4.44  -4.98  -3.98  -4.61  -3.72  -3.48  -4.39  -3.68  -4.40  -3.53
197508  -0.17   0.16  -0.46  -0.14  -0.52  -0.45  -0.76  -0.32  -0.80  -6.17
197509  -4.47  -4.05  -4.50  -4.56  -4.45  -5.13  -5.13  -4.22  -4.99  -3.32
197510   8.66   9.02   7.11  10.49   7.38  10.17   9.23  10.04   7.32   9.93
197511   2.26   2.68   1.61   2.73   1.46   1.80   2.44   1.41   2.58  -1.51
197512   2.09   3.62   0.95   2.99   1.36   3.68   1.48   3.29   0.87   2.83
197601   5.19   8.13   2.92   6.35   4.61   7.69   2.55   7.18   3.46  14.41
197602  -0.64   0.36  -1.09   0.30  -0.86   1.83  -1.05  -0.35  -1.15   1.50
197603  -1.75  -2.36  -1.97  -0.60  -1.75  -1.07  -0.67  -2.07  -1.51  -5.99
197604  -0.23  -0.99  -0.18   0.03  -0.64  -0.15  -0.60  -0.24   0.56   0.89
197605  -2.70  -3.21  -2.84  -1.99  -2.54  -2.55  -2.03  -3.11  -2.19  -1.72
197606   1.57   2.29   1.07   2.53   1.17   2.50   0.31   2.38   0.96   3.79
197607  -0.91  -1.19  -0.52  -1.35  -1.90  -0.65  -1.48  -0.56  -0.46  -1.56
197608   0.10   0.06   0.34  -0.13  -0.17  -0.53  -0.11  -0.14  -0.70   1.47
197609  -1.74  -2.19  -2.31  -1.56  -1.97  -1.99  -1.41  -1.30  -1.79  -2.61
197610  -6.41  -8.12  -6.11  -6.24  -6.42  -7.38  -5.78  -7.60  -4.86 -10.00
197611   1.49   0.67   1.56   1.53   0.61   0.82   0.67   1.23   1.97   1.81
197612  11.14  11.25  10.88  13.45  11.29  12.03  10.83   9.23  10.70  10.25
197701  -0.70   0.31  -1.12  -0.81  -0.79   0.53  -1.47   1.64  -2.53   9.31
197702   2.01   3.42   1.68   2.88   1.29   3.16   1.31   4.06   1.86   2.58
197703   0.57   1.87  -0.55   0.46   1.00   1.91   0.47   1.30  -0.49   0.59
197704   2.30   3.63   0.97   2.29   3.01   4.10   2.34   4.10   1.49   5.46
197705  -0.45  -0.10  -0.27   0.69  -0.85   0.03  -0.87  -0.26  -0.18  -0.20
197706   2.47   2.24   2.21   3.04   1.69   2.63   1.78   2.74   2.68  -0.58
197707  -1.21   0.29  -2.77  -0.79  -1.56   0.63  -2.28   0.94  -3.28  -1.18
197708   3.72   2.69   3.92   4.54   3.89   4.00   4.04   4.39   3.74   3.86
197709   2.79   2.40   3.67   3.45   1.16   0.81   3.44   1.73   3.07   0.44
197710   1.57   1.62   0.99   1.55   1.06   1.63   1.28   2.25   0.98   0.15
197711  -0.20   0.24  -0.70   0.14  -0.67  -0.27  -0.93   0.04  -0.62  -1.11
197712   4.16   5.78   2.52   4.92   3.05   5.42   3.04   6.40   1.85   3.42
